Pool	Location	State	Experiment	Year	Month	Season	Sample Date	females	males	total	percent_male
ZP_1	CM	VA	seasonal	2018	8	early	8/9/18	27	21	48	0.4375
ZP_2	FL	FL	seasonal	2019	6	early	6/1/19	17	25	42	0.595238095
ZP_3	CM	VA	seasonal	2019	8	early	8/14/19	0	46	46	1
ZP_4	HPO	VA	seasonal	2019	9	mid	9/3/19	50	50	100	0.5
ZP_5	CM	VA	seasonal	2019	10	late	10/26/19	11	42	53	0.79245283
ZP_6	HPO	VA	seasonal	2020	8	early	8/3/20	51	49	100	0.49
ZP_7	CM	VA	seasonal	2020	8	early	8/4/20	28	68	96	0.708333333
ZP_8	CM	VA	seasonal	2017	10	late	10/26/17	NA	NA	126	NA
ZP_9	CM	VA	seasonal	2017	8	early	8/3/17	NA	NA	189	NA
ZP_10	CM	VA	seasonal	2018	10	late	10/11/18	NA	NA	372	NA
ZP_11	CM	VA	seasonal	2020	11	late	11/10/20	20	31	51	0.607843137
ZP_12	HPO	VA	seasonal	2020	11	late	11/23/20	48	34	82	0.414634146
ZP_13	FL	FL	latitude	2021	7	NA	7/15/21	4	53	57	0.929824561
ZP_14	CM	VA	seasonal	2021	8	early	8/28/21	58	6	64	0.09375
ZP_15	HPO	VA	seasonal	2021	8	early	8/28/21	88	9	97	0.092783505
ZP_16	HPO	VA	seasonal	2021	9	mid	9/8/21	97	0	97	0
ZP_17	CM	VA	seasonal	2021	10	late	10/29/21	43	19	62	0.306451613
ZP_18	HPO	VA	seasonal	2021	11	late	11/14/21	30	19	49	0.387755102
ZP_19	CH	VA	seasonal	2022	8	early	8/18/22	22	14	36	0.388888889
ZP_20	CM	VA	seasonal	2022	8	early	8/19/22	105	0	105	0
ZP_21	HPO	VA	seasonal	2022	8	early	8/17/22	118	0	118	0
ZP_22	CK	VA	seasonal	2022	9	mid	9/21/22	49	16	65	0.246153846
ZP_23	CH	VA	seasonal	2022	9	mid	9/22/22	54	46	100	0.46
ZP_24	PA	PA	latitude	2022	10	NA	10/14/22	159	0	159	0
ZP_25	CT	CT	latitude	2022	10	NA	10/13/22	195	0	195	0
ZP_26	FL	FL	latitude	2022	10	NA	10/2/22	201	0	201	0
ZP_27	GA	GA	latitude	2022	9	NA	9/30/22	133	0	133	0
ZP_28	MA	MA	latitude	2022	10	NA	10/12/22	19	10	29	0.344827586
ZP_29	HPO	VA	seasonal	2022	9	mid	9/22/22	33	59	92	0.641304348
ZP_30	CM	VA	seasonal	2022	9	mid	9/20/22	13	16	29	0.551724138
ZP_31	HPO	VA	seasonal	2022	11	late	11/9/22	137	0	137	0
ZP_32	CM	VA	seasonal	2022	11	late	11/10/22	146	0	146	0
ZP_33	CH	VA	seasonal	2022	11	late	11/8/22	100	0	100	0
ZP_34	HPO	VA	latitude	2022	10	NA	10/6/22	31	69	100	0.69
ZP_35	CH	VA	seasonal	2023	10	mid	10/5/23	21	18	39	0.461538462
ZP_36	CK	VA	seasonal	2023	10	mid	10/13/23	44	77	121	0.636363636
ZP_37	CM	VA	seasonal	2023	8	early	8/23/23	48	72	120	0.6
ZP_38	HPO	VA	seasonal	2023	8	early	8/24/23	107	72	179	0.402234637
ZP_39	PA	PA	latitude	2023	10	NA	10/12/23	104	96	200	0.48
ZP_40	HPO	VA	seasonal	2023	10	mid	10/18/23	10	17	27	0.62962963
ZP_41	FL	FL	latitude	2023	11	NA	11/11/23	175	25	200	0.125
ZP_42	CM	VA	seasonal	2023	11	late	11/13/23	57	64	121	0.52892562
ZP_43	HPO	VA	seasonal	2023	11	late	11/14/23	22	11	33	0.333333333
ZP_44	GA	GA	latitude	2023	9	latitude	9/25/23	73	77	150	0.513333333
